url,tag
https://github.com/apache/incubator-heron/pull/170#discussion_r55956845,no
https://github.com/yegor256/cactoos/pull/1463#discussion_r488864791,no
https://github.com/elastic/elasticsearch/pull/23606#discussion_r106649130,no
https://github.com/apache/druid/pull/13548#discussion_r1045380959,no
https://github.com/apache/systemds/pull/540#discussion_r121273578,no
https://github.com/getodk/collect/pull/3261#discussion_r308673007,no
https://github.com/bisq-network/bisq/pull/4559#discussion_r498223238,no
https://github.com/mulesoft/mule/pull/3646#discussion_r89418108,no
https://github.com/opendistro-for-elasticsearch/performance-analyzer/pull/282#discussion_r588136462,no
https://github.com/google/graphicsfuzz/pull/502#discussion_r287138738,no
https://github.com/fcrepo/fcrepo/pull/1575#discussion_r344359403,no
https://github.com/apache/druid/pull/10524#discussion_r585172462,no
https://github.com/gridgain/gridgain/pull/803#discussion_r371171813,no
https://github.com/Azure/azure-sdk-for-java/pull/30894#discussion_r967517183,no
https://github.com/elastic/elasticsearch/pull/5340#discussion_r10294464,no
https://github.com/AdobeDocs/analytics-2.0-apis/pull/43#discussion_r236896391,no
https://github.com/supertokens/supertokens-core/pull/564#discussion_r1104472359,no
https://github.com/Azure/azure-sdk-for-java/pull/6147#discussion_r342214887,no
https://github.com/apache/flink/pull/18723#discussion_r805493500,no
https://github.com/apache/iceberg/pull/8533#discussion_r1322886857,no
https://github.com/spinnaker/orca/pull/1006#discussion_r82314631,no
https://github.com/quarkusio/quarkus/pull/21661#discussion_r755644257,no
https://github.com/cryostatio/cryostat-legacy/pull/638#discussion_r686215701,no
https://github.com/opensearch-project/OpenSearch/pull/8746#discussion_r1424047817,no
https://github.com/Automattic/simplenote-android/pull/1491#discussion_r712205091,no
https://github.com/HangarMC/Hangar/pull/526#discussion_r660410713,no
https://github.com/elastic/elasticsearch/pull/4687#discussion_r8855984,broken
https://github.com/elastic/elasticsearch/pull/65792#discussion_r535558349,no
https://github.com/openhab/openhab-addons/pull/2698#discussion_r139002324,no
https://github.com/helidon-io/helidon/pull/8423#discussion_r1523444673,no
https://github.com/iotaledger/iri/pull/907#discussion_r207737282,no
https://github.com/broadinstitute/gatk/pull/4769#discussion_r194439548,broken
https://github.com/apache/dubbo/pull/11021#discussion_r1081448498,no
https://github.com/deephaven/deephaven-core/pull/5329#discussion_r1552172945,no
https://github.com/opendistro-for-elasticsearch/performance-analyzer/pull/135#discussion_r447275729,no
https://github.com/MozillaReality/FirefoxReality/pull/778#discussion_r235157530,no
https://github.com/apache/commons-codec/pull/31#discussion_r352272387,no
https://github.com/elastic/elasticsearch/pull/104949#discussion_r1473036948,no
https://github.com/Azure/azure-sdk-for-java/pull/1045#discussion_r77748602,broken
https://github.com/Aiven-Open/klaw/pull/283#discussion_r1041933319,no
https://github.com/openhab/openhab-addons/pull/11698#discussion_r762614042,no
https://github.com/hortonworks/streamline/pull/67#discussion_r46753688,broken
https://github.com/FISCO-BCOS/web3sdk/pull/503#discussion_r377583211,no
https://github.com/openhab/openhab-addons/pull/6160#discussion_r415631499,no
https://github.com/reposense/RepoSense/pull/882#discussion_r338821495,broken
https://github.com/hibernate/hibernate-search/pull/3997#discussion_r1511047204,no
https://github.com/NationalSecurityAgency/datawave/pull/1535#discussion_r909432684,no
https://github.com/Netflix/titus-control-plane/pull/614#discussion_r308421313,no
https://github.com/apache/ozone/pull/681#discussion_r393199909,no
https://github.com/odpi/egeria/pull/7995#discussion_r1442753951,no
https://github.com/TEAMMATES/teammates/pull/8739#discussion_r179851245,no
https://github.com/apache/iceberg/pull/2538#discussion_r639361132,no
https://github.com/scalar-labs/scalardb/pull/299#discussion_r702870523,no
https://github.com/apache/ignite/pull/11238#discussion_r1482449230,no
https://github.com/quarkusio/quarkus/pull/32307#discussion_r1168061574,no
https://github.com/oceanbase/odc/pull/1365#discussion_r1452973944,no
https://github.com/jenkinsci/github-branch-source-plugin/pull/141#discussion_r122830374,no
https://github.com/linkedin/kafka-monitor/pull/2#discussion_r60673330,broken
https://github.com/apache/beam/pull/17130#discussion_r835956604,no
https://github.com/TooTallNate/Java-WebSocket/pull/1070#discussion_r491455518,no
https://github.com/apache/ozone/pull/4722#discussion_r1199212154,no
https://github.com/jdbi/jdbi/pull/318#discussion_r59152917,no
https://github.com/powsybl/powsybl-core/pull/1201#discussion_r388809445,no
https://github.com/apache/helix/pull/1328#discussion_r487284314,no
https://github.com/OpenAPITools/openapi-generator/pull/14298#discussion_r1055413998,no
https://github.com/apache/nifi/pull/5415#discussion_r735825183,no
https://github.com/apache/gobblin/pull/638#discussion_r51208884,broken
https://github.com/elastic/elasticsearch/pull/42328#discussion_r288517694,no
https://github.com/bazelbuild/bazel/pull/14201#discussion_r786271031,no
https://github.com/apache/iotdb/pull/10756#discussion_r1287867957,no
https://github.com/broadinstitute/gatk/pull/4472#discussion_r173949313,no
https://github.com/elastic/elasticsearch/pull/32749#discussion_r213930183,no
https://github.com/hyperledger/besu/pull/1492#discussion_r519193948,no
https://github.com/CobbleSword/NachoSpigot/pull/283#discussion_r767074530,no
https://github.com/checkstyle/checkstyle/pull/11661#discussion_r878747960,no
https://github.com/apache/flink/pull/6464#discussion_r500526730,no
https://github.com/apache/orc/pull/648#discussion_r589477102,no
https://github.com/apache/beam/pull/13365#discussion_r558483607,no
https://github.com/JnRouvignac/AutoRefactor/pull/216#discussion_r84959975,no
https://github.com/Alluxio/alluxio/pull/12842#discussion_r578034433,no
https://github.com/snowflakedb/snowflake-jdbc/pull/1120#discussion_r944019378,no
https://github.com/Graylog2/graylog2-server/pull/16035#discussion_r1281781011,no
https://github.com/powsybl/powsybl-core/pull/2666#discussion_r1287968932,no
https://github.com/PlaceholderAPI/PlaceholderAPI/pull/407#discussion_r464466575,no
https://github.com/apache/beam/pull/10367#discussion_r365006782,no
https://github.com/spring-projects/spring-amqp/pull/346#discussion_r46965044,no
https://github.com/gridgain/gridgain/pull/939#discussion_r386138142,no
https://github.com/opensearch-project/OpenSearch/pull/4191#discussion_r967383332,no
https://github.com/vaadin/framework/pull/9333#discussion_r116942304,broken
https://github.com/SpongePowered/SpongeAPI/pull/563#discussion_r28201592,no
https://github.com/jsettlers/settlers-remake/pull/706#discussion_r184332703,no
https://github.com/TouK/sputnik/pull/43#discussion_r20345801,no
https://github.com/SonarSource/sonarqube/pull/1620#discussion_r99563649,no
https://github.com/apache/pulsar/pull/13481#discussion_r776123167,no
https://github.com/SonarSource/sonar-java/pull/4088#discussion_r863733556,no
https://github.com/Aptoide/aptoide-client-v8/pull/828#discussion_r244126973,no
https://github.com/apache/hudi/pull/9883#discussion_r1372831131,no
https://github.com/vespa-engine/vespa/pull/14165#discussion_r478886067,no
https://github.com/eclipse-m2e/m2e-core/pull/1154#discussion_r1056116739,no
https://github.com/gentics/mesh/pull/856#discussion_r316685615,no
https://github.com/infinispan/infinispan/pull/10230#discussion_r948939879,no
https://github.com/line/centraldogma/pull/535#discussion_r494775608,no
https://github.com/apache/beam/pull/31143#discussion_r1585749416,no
https://github.com/deephaven/deephaven-core/pull/4388#discussion_r1309135752,no
https://github.com/mulesoft/mule/pull/10122#discussion_r626103952,no
https://github.com/deephaven/deephaven-core/pull/1629#discussion_r769666910,no
https://github.com/apache/gobblin/pull/2078#discussion_r135667761,broken
https://github.com/microsoft/azure-tools-for-java/pull/5245#discussion_r635787837,no
https://github.com/openedx-unsupported/edx-app-android/pull/885#discussion_r101065157,no
